#BEGINNING OF FILE,,,,,,
# Recording start time: 2021-11-09T16:30:45.439383,,,,,,
# ,,,,,,
#timestamp, rms ch1, std ch1, rms ch2, std ch2, sled power, sled power std
09:50.4,0.730467044,0.001479073,0.449587485,0.000990332,-0.019892674,0.000852751
10:50.5,0.728650425,0.001752388,0.448376655,0.001185021,-0.020882179,0.001007715
11:50.6,0.727492686,0.001858842,0.447639194,0.001255153,-0.021535074,0.001061356
12:50.7,0.732726932,0.002247731,0.451275524,0.00154239,-0.018533226,0.001304943
13:50.8,0.729468163,0.001367531,0.449172152,0.000923828,-0.020340751,0.000795785
14:51.0,0.72870649,0.001721116,0.448545757,0.001177053,-0.020788065,0.000988945
15:51.1,0.730023646,0.001696616,0.449375155,0.001147273,-0.020099346,0.000992186
16:51.2,0.72951763,0.002410515,0.449004515,0.001628758,-0.020423697,0.00138427
17:51.3,0.728982739,0.002753028,0.44861503,0.00187289,-0.020722489,0.001572744
18:51.4,0.729066847,0.001725333,0.448638192,0.001172631,-0.020699279,0.000986505
19:51.6,0.728484551,0.002789218,0.44820769,0.00188165,-0.021001302,0.00160228
20:51.7,0.730206839,0.002106737,0.449332922,0.001419018,-0.020056742,0.001208169
21:51.8,0.729403121,0.002913832,0.448860261,0.001979277,-0.020440569,0.001670666
22:51.9,0.730410134,0.003152648,0.449591333,0.002127302,-0.019867398,0.001800703
23:52.0,0.730478788,0.001815224,0.449708254,0.001227995,-0.019787645,0.001048444
24:52.2,0.730288936,0.001713078,0.449597914,0.001141499,-0.019908719,0.000969277
25:52.3,0.731223112,0.00209482,0.450279316,0.001402231,-0.019373768,0.001200626
26:52.4,0.729675772,0.002493206,0.449252561,0.00170551,-0.020220798,0.001440125
27:52.5,0.728149128,0.001810882,0.448099953,0.001215358,-0.021122652,0.001039513
28:52.6,0.729181299,0.002799278,0.448738197,0.001883756,-0.020613878,0.001580664
29:52.8,0.731995917,0.001352053,0.450628805,0.000906903,-0.019060364,0.00078452
30:52.9,0.730872021,0.001917402,0.449943867,0.001292794,-0.019666809,0.001100002
31:53.0,0.728349972,0.002304974,0.448226739,0.001558379,-0.021090876,0.001316412
32:53.1,0.730654213,0.002064045,0.449832214,0.001400726,-0.019766548,0.00119084
33:53.2,0.729970713,0.002854551,0.449399718,0.001910211,-0.020135117,0.001613121
34:53.4,0.729585633,0.002039618,0.449105682,0.001399151,-0.020363042,0.001183066
35:53.5,0.728598682,0.002299628,0.448413056,0.001546264,-0.020899666,0.001299322
36:53.6,0.731453636,0.002699552,0.450246011,0.001798871,-0.019376533,0.001520688
37:53.7,0.729148396,0.002551522,0.448707508,0.001703927,-0.02071828,0.001430686
38:53.8,0.730690286,0.003150744,0.449761062,0.002126429,-0.019822563,0.001816774
39:54.0,0.729849115,0.00147006,0.449231098,0.001011228,-0.0202542,0.000859845
40:54.1,0.728081599,0.002628527,0.448062269,0.001776247,-0.021239955,0.001502114
41:54.2,0.728272021,0.002996936,0.448357421,0.002052723,-0.020991759,0.001726284
42:54.3,0.730425615,0.002178217,0.449833932,0.0014698,-0.019791453,0.001250578
43:54.4,0.726979532,0.002787717,0.44761714,0.001886722,-0.021680451,0.00159983
44:54.6,0.729006806,0.00316901,0.448952352,0.002134325,-0.020588989,0.001808963
45:54.7,0.730433542,0.003215195,0.44983629,0.002168537,-0.019862726,0.001838425
46:54.8,0.731161727,0.002870693,0.450272114,0.001934363,-0.019500985,0.001650344
47:54.9,0.731033059,0.002543405,0.450134097,0.001712404,-0.019604996,0.001436843
48:55.0,0.731852923,0.001644474,0.450668014,0.001110226,-0.019125285,0.000945614
49:55.2,0.728694688,0.002911968,0.448513511,0.001946673,-0.02088696,0.001638382
50:55.3,0.732462163,0.002370265,0.450979492,0.001596309,-0.018814595,0.001376858
51:55.4,0.730289328,0.004029518,0.449507807,0.00271966,-0.020068371,0.002308331
52:55.5,0.727189882,0.002757883,0.447436902,0.001860485,-0.021756463,0.001574202
53:55.6,0.728487961,0.003618821,0.448329984,0.002437161,-0.02100813,0.00205746
54:55.8,0.727239351,0.003330975,0.447470148,0.002236384,-0.021781104,0.001871515
55:55.9,0.727806011,0.003324508,0.447830584,0.002239131,-0.021447705,0.001895283
56:56.0,0.72797318,0.001608643,0.447962463,0.001065684,-0.021357077,0.000909926
57:56.1,0.729039824,0.001562485,0.448587541,0.001052553,-0.020828128,0.000894639
58:56.2,0.731832129,0.002109571,0.450541206,0.001421626,-0.019239169,0.001213308
59:56.4,0.729544357,0.003029683,0.449027157,0.002046841,-0.020513441,0.001727183
00:56.5,0.729770218,0.002233515,0.449127829,0.001512562,-0.020383871,0.001273219
01:56.6,0.729333142,0.002137512,0.448825676,0.001442987,-0.020714339,0.001220476
02:56.7,0.729716667,0.001824884,0.449086554,0.001217357,-0.020477245,0.001037479
