Sample;Ch1;Ch2
105;0.013671875;0.013671875
106;0.017578125;0.017578125
107;0.0234375;0.01953125
108;0.017578125;0.015625
109;0.01171875;0.015625
110;0.015625;0.015625
111;0.013671875;0.021484375
112;0.021484375;0.01953125
113;0.017578125;0.015625
114;0.01953125;0.015625
115;0.015625;0.017578125
116;0.021484375;0.0234375
117;0.013671875;0.017578125
118;0.013671875;0.015625
119;0.01171875;0.01953125
120;0.017578125;0.01953125
121;0.017578125;0.017578125
122;0.013671875;0.01953125
123;0.021484375;0.025390625
124;0.017578125;0.021484375
125;0.009765625;0.01953125
126;0.021484375;0.013671875
127;0.0234375;0.015625
128;0.017578125;0.01171875
129;0.0234375;0.017578125
130;0.017578125;0.0234375
131;0.009765625;0.015625
132;0.01953125;0.01953125
133;0.01953125;0.01953125
134;0.01953125;0.01953125
135;0.017578125;0.017578125
136;0.015625;0.013671875
137;0.021484375;0.013671875
138;0.013671875;0.013671875
139;0.015625;0.021484375
140;0.01953125;0.017578125
141;0.01953125;0.009765625
142;0.015625;0.01953125
143;0.013671875;0.015625
144;0.015625;0.017578125
145;0.015625;0.01953125
146;0.017578125;0.017578125
147;0.01953125;0.021484375
148;0.015625;0.01953125
149;0.017578125;0.015625
150;0.01953125;0.021484375
151;0.013671875;0.0234375
152;0.01953125;0.017578125
153;0.017578125;0.01171875
154;0.017578125;0.01953125
155;0.01171875;0.017578125
156;0.017578125;0.015625
157;0.021484375;0.015625
158;0.01953125;0.017578125
159;0.013671875;0.013671875
160;0.021484375;0.0234375
161;0.015625;0.021484375
162;0.013671875;0.021484375
163;0.01171875;0.015625
164;0.013671875;0.015625
165;0.015625;0.017578125
166;0.021484375;0.0234375
167;0.017578125;0.021484375
168;0.01953125;0.017578125
169;0.025390625;0.01953125
170;0.017578125;0.015625
171;0.013671875;0.013671875
172;0.01953125;0.005859375
173;0.013671875;0.021484375
174;0.015625;0.01953125
175;0.017578125;0.0234375
176;0.01171875;0.013671875
177;0.01953125;0.021484375
178;0.013671875;0.017578125
179;0.01953125;0.015625
180;0.013671875;0.021484375
181;0.017578125;0.017578125
182;0.017578125;0.021484375
183;0.0234375;0.017578125
184;0.01953125;0.01953125
185;0.015625;0.01953125
186;0.013671875;0.017578125
187;0.01953125;0.01953125
188;0.021484375;0.025390625
189;0.015625;0.021484375
190;0.01953125;0.021484375
191;0.0234375;0.017578125
192;0.01953125;0.017578125
193;0.01953125;0.0234375
194;0.01953125;0.01953125
195;0.021484375;0.01953125
196;0.0234375;0.01953125
197;0.01171875;0.0234375
198;0.017578125;0.015625
199;0.01953125;0.013671875
200;0.01171875;0.013671875
201;0.017578125;0.009765625
202;0.01171875;0.017578125
203;0.015625;0.01171875
204;0.01953125;0.017578125
205;0.017578125;0.013671875
206;0.021484375;0.01953125
207;0.01953125;0.01171875
208;0.015625;0.021484375
209;0.017578125;0.01953125
210;0.01171875;0.01953125
211;0.021484375;0.009765625
212;0.01171875;0.01171875
213;0.015625;0.015625
214;0.01953125;0.01953125
215;0.01953125;0.017578125
216;0.013671875;0.017578125
217;0.01953125;0.029296875
218;0.013671875;0.01953125
219;0.01171875;0.013671875
220;0.015625;0.009765625
221;0.0234375;0.017578125
222;0.015625;0.01171875
223;0.01171875;0.017578125
224;0.0234375;0.02734375
225;0.0234375;0.017578125
226;0.017578125;0.017578125
227;0.01171875;0.017578125
228;0.021484375;0.015625
229;0.017578125;0.0234375
230;0.015625;0.021484375
231;0.0234375;0.017578125
232;0.013671875;0.015625
233;0.01953125;0.025390625
234;0.01171875;0.01171875
235;0.01953125;0.0234375
236;0.01171875;0.021484375
237;0.015625;0.017578125
238;0.017578125;0.01953125
239;0.01171875;0.015625
240;0.01171875;0.01953125
241;0.005859375;0.01953125
242;0.01953125;0.0234375
243;0.021484375;0.017578125
244;0.021484375;0.021484375
245;0.01953125;0.017578125
246;0.01171875;0.017578125
247;0.01171875;0.01953125
248;0.021484375;0.013671875
249;0.01953125;0.017578125
250;0.013671875;0.01953125
251;0.021484375;0.015625
252;0.015625;0.013671875
253;0.01953125;0.0234375
254;0.021484375;0.0234375
255;0.021484375;0.01953125
256;0.013671875;0.013671875
257;0.013671875;0.021484375
258;0.0234375;0.017578125
259;0.017578125;0.017578125
260;0.015625;0.015625
261;0.015625;0.017578125
262;0.017578125;0.01953125
263;0.013671875;0.01953125
264;0.013671875;0.013671875
265;0.015625;0.017578125
266;0.025390625;0.017578125
267;0.025390625;0.01953125
268;0.009765625;0.01171875
269;0.017578125;0.017578125
270;0.01953125;0.025390625
271;0.013671875;0.017578125
272;0.01171875;0.021484375
273;0.017578125;0.01953125
274;0.017578125;0.029296875
275;0.013671875;0.015625
276;0.01171875;0.015625
277;0.015625;0.015625
278;0.015625;0.01953125
279;0.015625;0.013671875
280;0.01171875;0.01171875
281;0.015625;0.01953125
282;0.01171875;0.01171875
283;0.015625;0.015625
284;0.01953125;0.017578125
285;0.013671875;0.0234375
286;0.009765625;0.009765625
287;0.01953125;0.021484375
288;0.013671875;0.0234375
289;0.01953125;0.013671875
290;0.0234375;0.013671875
291;0.013671875;0.015625
292;0.017578125;0.015625
293;0.013671875;0.013671875
294;0.013671875;0.021484375
295;0.009765625;0.017578125
296;0.0078125;0.017578125
297;0.01953125;0.01953125
298;0.017578125;0.0234375
299;0.0078125;0.017578125
300;0.021484375;0.013671875
301;0.021484375;0.015625
302;0.015625;0.01171875
303;0.0234375;0.017578125
304;0.017578125;0.0234375
305;0.0234375;0.0234375
306;0.01953125;0.01953125
307;0.0234375;0.01953125
308;0.013671875;0.01953125
309;0.015625;0.021484375
310;0.01171875;0.01953125
311;0.015625;0.01953125
312;0.01171875;0.017578125
313;0.013671875;0.0234375
314;0.015625;0.01171875
315;0.013671875;0.0234375
316;0.0234375;0.01953125
317;0.021484375;0.021484375
318;0.01171875;0.017578125
319;0.021484375;0.01171875
320;0.015625;0.01953125
321;0.013671875;0.015625
322;0.017578125;0.021484375
323;0.021484375;0.01953125
324;0.02734375;0.015625
325;0.017578125;0.015625
326;0.021484375;0.017578125
327;0.025390625;0.017578125
328;0.015625;0.01953125
329;0.021484375;0.01953125
330;0.013671875;0.025390625
331;0.015625;0.021484375
332;0.009765625;0.01953125
333;0.01953125;0.021484375
334;0.021484375;0.013671875
335;0.01953125;0.017578125
336;0.01953125;0.01171875
337;0.015625;0.017578125
338;0.0234375;0.017578125
339;0.01953125;0.015625
340;0.0234375;0.009765625
341;0.015625;0.01953125
342;0.01171875;0.01953125
343;0.015625;0.017578125
344;0.017578125;0.013671875
345;0.013671875;0.01953125
346;0.01953125;0.013671875
347;0.0078125;0.017578125
348;0.021484375;0.01171875
349;0.01953125;0.015625
350;0.015625;0.015625
351;0.017578125;0.021484375
352;0.01953125;0.021484375
353;0.01953125;0.0234375
354;0.015625;0.013671875
355;0.015625;0.025390625
356;0.0234375;0.017578125
357;0.013671875;0.01171875
358;0.015625;0.0234375
359;0.013671875;0.017578125
360;0.009765625;0.015625
361;0.01171875;0.015625
362;0.021484375;0.01953125
363;0.0234375;0.015625
364;0.017578125;0.017578125
365;0.013671875;0.021484375
366;0.013671875;0.0234375
367;0.017578125;0.017578125
368;0.021484375;0.01953125
369;0.01953125;0.017578125
370;0.017578125;0.021484375
371;0.015625;0.015625
372;0.01953125;0.021484375
373;0.01953125;0.017578125
374;0.01953125;0.017578125
375;0.01953125;0.0234375
376;0.017578125;0.0234375
377;0.015625;0.01953125
378;0.017578125;0.015625
379;0.01953125;0.01953125
380;0.013671875;0.021484375
381;0.017578125;0.021484375
382;0.01171875;0.015625
383;0.01171875;0.0234375
384;0.0078125;0.025390625
385;0.021484375;0.015625
386;0.015625;0.015625
387;0.013671875;0.015625
388;0.01953125;0.015625
389;0.005859375;0.0234375
390;0.0234375;0.017578125
391;0.025390625;0.013671875
392;0.013671875;0.013671875
393;0.013671875;0.013671875
394;0.013671875;0.021484375
395;0.01171875;0.021484375
396;0.021484375;0.01953125
397;0.0234375;0.013671875
398;0.025390625;0.017578125
399;0.017578125;0.015625
400;0.015625;0.017578125
401;0.017578125;0.021484375
402;0.021484375;0.015625
403;0.017578125;0.015625
404;0.0234375;0.013671875
405;0.01953125;0.01953125
406;0.015625;0.01953125
407;0.013671875;0.01953125
408;0.017578125;0.013671875
409;0.0234375;0.015625
410;0.021484375;0.01953125
411;0.01171875;0.021484375
412;0.017578125;0.013671875
413;0.013671875;0.015625
414;0.01953125;0.01953125
415;0.013671875;0.015625
416;0.01953125;0.01953125
417;0.013671875;0.0234375
418;0.015625;0.013671875
419;0.009765625;0.009765625
420;0.013671875;0.017578125
421;0.017578125;0.01953125
422;0.013671875;0.0234375
423;0.0234375;0.013671875
424;0.01953125;0.017578125
425;0.017578125;0.025390625
426;0.017578125;0.017578125
427;0.01953125;0.017578125
428;0.009765625;0.01953125
429;0.01953125;0.01953125
430;0.013671875;0.017578125
431;0.0234375;0.017578125
432;0.017578125;0.015625
433;0.015625;0.015625
434;0.015625;0.017578125
435;0.017578125;0.0234375
436;0.01171875;0.015625
437;0.015625;0.013671875
438;0.017578125;0.017578125
439;0.01953125;0.01953125
440;0.013671875;0.017578125
441;0.01953125;0.017578125
442;0.01953125;0.013671875
443;0.015625;0.0234375
444;0.01953125;0.021484375
445;0.01953125;0.015625
446;0.021484375;0.01953125
447;0.017578125;0.013671875
448;0.015625;0.021484375
449;0.015625;0.015625
450;0.013671875;0.01171875
451;0.01953125;0.021484375
452;0.015625;0.01171875
453;0.017578125;0.015625
454;0.017578125;0.01171875
455;0.01171875;0.015625
456;0.009765625;0.0234375
457;0.0078125;0.01953125
458;0.015625;0.021484375
459;0.017578125;0.017578125
460;0.013671875;0.021484375
461;0.013671875;0.025390625
462;0.017578125;0.021484375
463;0.017578125;0.021484375
464;0.01171875;0.021484375
465;0.025390625;0.0234375
466;0.017578125;0.017578125
467;0.01953125;0.01953125
468;0.015625;0.013671875
469;0.017578125;0.01953125
470;0.009765625;0.017578125
471;0.0234375;0.025390625
472;0.017578125;0.021484375
473;0.013671875;0.021484375
474;0.015625;0.01953125
475;0.01953125;0.017578125
476;0.01953125;0.0234375
477;0.01953125;0.013671875
478;0.017578125;0.013671875
479;0.015625;0.009765625
480;0.021484375;0.017578125
481;0.017578125;0.01953125
482;0.013671875;0.017578125
483;0.013671875;0.01953125
484;0.013671875;0.015625
485;0.017578125;0.017578125
486;0.015625;0.01953125
487;0.021484375;0.013671875
488;0.015625;0.017578125
489;0.017578125;0.01953125
490;0.009765625;0.01953125
491;0.0234375;0.015625
492;0.01953125;0.01171875
493;0.009765625;0.013671875
494;0.017578125;0.015625
495;0.02734375;0.017578125
496;0.013671875;0.017578125
497;0.017578125;0.01953125
498;0.015625;0.0234375
499;0.017578125;0.01171875
500;0.017578125;0.025390625
501;0.01953125;0.015625
502;0.01171875;0.0234375
503;0.017578125;0.021484375
504;0.015625;0.009765625
505;0.015625;0.017578125
506;0.015625;0.021484375
507;0.015625;0.01953125
508;0.01953125;0.021484375
509;0.021484375;0.009765625
